variable,mean,std,min,q25,median,q75,max
BWRX-300,239.1819811375979,57.91483824982417,131.90007343086089,194.00551957368515,232.63033303961686,278.4760592956495,411.3286376210881
UK-SMR (RR),228.4422600838922,45.12324568127442,144.34336480243866,192.1805642546059,224.3873303369091,259.3571113367521,359.20786864270985
SMR-160,287.9128151320129,106.26047182836713,111.00497893630165,208.16512632710703,266.0611192975885,352.2887193815428,636.2366825296023
SMART,349.3315427167399,150.06682978125514,114.63641958066754,233.16325453335378,317.1899976898613,438.7843595770616,856.4859305177383
NuScale,437.4910979964194,199.5402136845495,140.77149543264153,281.5511150643075,391.0013028984238,554.8727134899138,1132.0730801964835
RITM-200M,629.6172219074749,326.0470965938968,173.88453860411067,373.66965372461664,546.2397810008825,815.0677056306218,1828.7130815471364
ACPR-50S,657.7400568780282,358.8870861229924,171.569120580886,366.77505582527556,564.8623745259399,873.6950061550422,1914.346796842813
KLT-40S,751.3913135318031,432.25213741876036,184.36498681583117,400.00558445756144,632.6019521358694,1017.6742351655605,2252.3660158370853
CAREM,855.7954535305813,537.8910856727302,175.5502270627049,429.7568631726842,701.5479840152764,1160.8269279763706,2838.469927191425
EM2,123.15151793233899,22.717452278293248,83.7764114664557,103.04953435334664,122.19158005306974,142.25132231039436,172.1079083363064
HTR-PM,144.33340519989594,29.22489488980419,91.15442644834846,119.27808781344194,142.1214425298926,167.50119614739708,217.91132760411995
ARC-100,1291.1878502532625,565.942799621416,431.45978397260563,848.2939314198227,1164.803889468998,1634.5389111210084,3207.9101715710976
CEFR,3695.003130209889,2370.861352837703,788.0038841585227,1742.0152353689764,2995.2699256373817,5155.2035875845,12226.178052798863
4S,5588.061779540476,4217.600330497842,826.9838824815862,2171.9790324302453,4224.863649272123,8012.039923213548,21070.98579810807
IMSR (300),262.90477692880233,83.68457521562954,117.57311519038242,200.11085103627153,247.89364048897937,313.4300015856718,535.1342323383137
SSR-W,221.88658434562464,53.65056706545995,123.05937459464141,180.75962520798151,214.9357519583387,257.1423752350136,386.4263574219437
e-Vinci,2111.0279824878594,1781.0447415173378,257.2278416379531,729.4130820526004,1467.9024428565504,2996.7045100157784,8935.82023295461
Brest-OD-300,766.3442548293572,214.503030254171,376.4656217928416,604.5516220569773,737.057814335516,902.3751108925605,1425.156981815351
Clinton-1,136.2447019115985,22.477884383754468,99.34887712367939,116.78362069317669,135.16304092882518,155.23691286656725,178.70527154839002
Hope Creek,144.8961767775419,24.50245040511873,104.9154900757081,123.53183047825792,143.3810482613518,165.44395832591522,191.1017557471271
Riverbend-1,128.41198786437252,20.72635319491907,94.6821528300345,110.3248213946692,127.00510204963291,145.87044185440493,167.7879703314903
Olkiluoto-3-wealer,114.39826216785346,19.75028444413488,82.22256070941415,97.10567734282722,113.7930159861904,130.9350250721202,151.5578144336837
Olkiluoto-3-oecd,93.27897920166679,14.065255330935361,70.00347496017649,80.89139132170827,92.6670738332914,105.03557711281347,119.46022557632917
Flamanville-3-wealer,123.49741162063566,21.318342081723483,88.32349710267604,104.85213266060167,122.74356949285541,141.7835288703338,163.11994649827264
Flamanville-3-oecd,117.63468046896429,19.98623471364172,84.86453885391961,99.92370299831703,116.8159753821537,135.01341839986364,154.53247426273592
Hinkley Point C-1,133.463155395327,28.02226508115478,89.33615352541618,108.36844248212692,131.2061693306624,157.2345023624264,187.65455000978324
Hinkley Point C-2,133.57507649249825,28.098788862210462,89.45931782261123,108.72286058706474,131.41641766189753,157.32241762094293,187.4726790475953
Vogtle-3-wealer,155.0067522776921,32.289847609901706,103.33718092091492,126.54988804713224,153.14308453578423,182.30120978135903,215.98434068289427
Vogtle-4-wealer,154.78478866115168,31.977881015131164,103.18794976687347,126.43713091933512,152.84337674806267,181.53474595893886,215.8967983969653
Vogtle-3-oecd,126.50414696112944,24.453327763542877,87.66876248932053,104.94056493317117,124.51192214410992,147.18106251362792,173.30813604852258
Vogtle-4-oecd,126.46999243179437,24.44066524621898,87.67968335567993,104.8334603306695,124.72718240596612,147.25765760777918,173.46526128159329
Shin Kori-3|Saeul-1,60.90513176781221,5.558072928443778,51.66344127406149,55.98393419349633,60.670321700970064,65.66058847001904,71.28423524181356
Shin Kori-4|Saeul-2,60.85249586265853,5.53744238834012,51.63054216952162,55.92622837800184,60.52681972499279,65.55592730344007,71.33557482124513
Sanmen-1,68.75437199378167,7.84032041385197,56.038969131068114,61.74465475608701,68.36027719020174,75.40291187783302,83.67093615756389
Sanmen-2,68.8407610089441,7.782194377408837,56.02876279054233,61.96019766042209,68.5229136579935,75.53762937703343,83.34583309967319
Taishan-1,68.3420547433628,7.416233446031387,56.048302047637364,61.80381217563949,68.12867198984344,74.71083467301953,82.0439570813926
Taishan-2,68.4001114520155,7.461882044492426,56.0338162514885,61.74195701011547,68.13374445056402,74.84362004346183,82.12681607691054
Novovoronezh II-1,60.98518653036144,5.972019879858873,51.2186736837051,55.732364474359414,60.64035660704248,66.0113768547687,72.27559080837445
Novovoronezh II-2,61.908443567060274,6.400814300152873,51.56428229306462,56.275443202764684,61.49453350955241,67.36501147815238,74.07343918772344
Fort St. Vrain-doe/eia,151.61716483455422,27.603120517976038,100.96773536571452,128.3762600879482,149.96298770655773,172.86649712268533,222.60005381253896
Fort St. Vrain,151.1194941669244,27.50454227373407,100.41883408153005,127.96049291515068,149.04446929327617,172.5707903898651,222.51678293831864
Peach Bottom-1,294.4799797322826,100.82648379838257,127.34339791052415,217.31609034785208,275.2347392385458,354.209370647206,628.3592346759908
