si,var,BWRX-300,UK-SMR (RR),SMR-160,SMART,NuScale,RITM-200M,ACPR-50S,KLT-40S,CAREM,EM2,HTR-PM,PBMR-400,ARC-100,CEFR,4S,Clinton-1,Hope Creek,Riverbend-1,Olkiluoto-3-wealer,Olkiluoto-3-oecd,Flamanville-3-wealer,Flamanville-3-oecd,Hinkley Point C-1,Hinkley Point C-2,Vogtle-3-wealer,Vogtle-4-wealer,Vogtle-3-oecd,Vogtle-4-oecd,Shin Kori-3|Saeul-1,Shin Kori-4|Saeul-2,Sanmen-1,Sanmen-2,Taishan-1,Taishan-2,Novovoronezh II-1,Novovoronezh II-2,Fort St. Vrain-doe/eia,Fort St. Vrain,Peach Bottom-1,Beloyarsk-4,Superphenix
S,wacc,0.5299029246643028,0.8215689404260852,0.37744473107273085,0.27644761989179567,0.2738581622283211,0.18388802296298143,0.15740195073133442,0.12048696847670815,0.1294109409333144,1.0,0.8885238977560421,0.7771541243276447,0.27323870261894334,0.10137002734707223,0.051543696874837515,0.7545712456414002,0.9172922956676665,0.9235919756210328,0.8917701669327031,0.8678309231345894,0.9251598873116191,0.9887806640320783,0.9089290114409087,0.844123301782007,0.8969867554220909,0.9365860517953154,0.9576203407813078,0.9804145027714615,1.0,0.8542715993247108,0.8470183613773382,0.8591229446889991,0.8184501944483434,1.0,0.7949732337069692,0.8977285909629267,0.8764927539938151,0.9871948026515512,0.287435548131717,0.9243355120133532,0.9315026934351598
S,construction_time,0.023928676447654455,0.024113545344663423,0.015407886265285537,0.0,0.0,0.0,0.0,0.0,0.0,-0.015536726157264213,0.0314653490224396,0.04278418361856568,0.0,0.0,0.0,0.03286328218212472,0.09124646111339275,0.09586893989457754,0.09205878362384473,0.07796399794330684,0.05659414869690384,0.059138166868490646,0.0996439349205039,0.06878433686299734,0.053627646000255255,0.07719592390189854,0.11274945537214404,0.056816829947640216,0.08055191105106818,0.08749185969687236,0.07439223645546493,0.07873202935572131,0.03211673573976166,0.03791140584022803,0.06591761395840498,0.08014412581800615,0.04498567343899675,0.06010760431126586,0.0,0.10733258207974106,0.07886878177321632
S,loadfactor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S,investment,0.29721013054324746,0.19254951178161986,0.5079956130162651,0.6017019221920104,0.6806965520101361,0.7855814914050603,0.8579915707989056,0.777708123425182,0.8094197364672245,0.0178302382874509,0.0659281718526025,0.15690803814424809,0.6493443164692446,0.8806004026011982,0.8689224746581046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12058942117282424,0.12530313736786575,0.635592586512053,0.0,0.0
ST,wacc,0.6704446538232146,0.7408485951822023,0.46357919257552166,0.35300627425674924,0.3110548292166437,0.22410216475695457,0.20044118674667805,0.18532139235067369,0.2057709000349476,0.9571497707056097,0.8937644495230171,0.813608323348382,0.3312388668827759,0.12509347730502451,0.10198421877275744,0.9104429137552004,0.9200796632318847,0.9194160196242038,0.9253146341201552,0.9209917530438868,0.953767024483556,0.9132129467240631,0.9225214650619993,0.9246237561947941,0.9305739276114424,0.9316950959144232,0.9160135275617753,0.9206368570377621,0.9090579794257508,0.9236332173857057,0.9485945796101524,0.9314622668996566,0.9396068989434828,0.9490746370299887,0.9264902823483933,0.9094896089082819,0.8700199983440307,0.8698535368855915,0.35722208598977523,0.9340968654068493,0.918018454205
ST,construction_time,0.02703058038893839,0.029796054302054436,0.016439074688659173,0.014585578729856644,0.011936509930571063,0.011084146977214687,0.0,0.0,0.0,0.03731446329008315,0.035341497744982346,0.03825752442020397,0.012617266049872724,0.0,0.0,0.10414555879515876,0.10809520075202542,0.10826145612340196,0.09152239285589221,0.08988330608365314,0.08983928633998928,0.09137618225083043,0.09057157952244319,0.09145954097053044,0.09317319792872854,0.09113709440160317,0.09064005202565027,0.09095741151658207,0.09097096128412184,0.0913052139325286,0.09102812343559986,0.09251000181669142,0.09316777938044488,0.09143383854765369,0.0909469755309423,0.09175218826625532,0.03974505753006784,0.04008901980803917,0.017707255293067204,0.09106859200651592,0.1050872966473171
ST,loadfactor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ST,investment,0.33515180853050947,0.24645714524929846,0.5708886583321731,0.6721821289639088,0.7471765645361655,0.8142428533936416,0.8530297013627133,0.8579614050079363,0.8746436768786896,0.017397746408281477,0.08907262211940081,0.18694020794883678,0.7101049199019743,0.9000463083735952,0.9299887505664572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10298061512397774,0.10427199423102301,0.6478202508625297,0.0,0.0
