si,var,BWRX-300,UK-SMR (RR),SMR-160,SMART,NuScale,RITM-200M,ACPR-50S,KLT-40S,CAREM,EM2,HTR-PM,ARC-100,CEFR,4S,IMSR (300),SSR-W,e-Vinci,Brest-OD-300,Clinton-1,Hope Creek,Riverbend-1,Olkiluoto-3-wealer,Olkiluoto-3-oecd,Flamanville-3-wealer,Flamanville-3-oecd,Hinkley Point C-1,Hinkley Point C-2,Vogtle-3-wealer,Vogtle-4-wealer,Vogtle-3-oecd,Vogtle-4-oecd,Shin Kori-3|Saeul-1,Shin Kori-4|Saeul-2,Sanmen-1,Sanmen-2,Taishan-1,Taishan-2,Novovoronezh II-1,Novovoronezh II-2,Fort St. Vrain-doe/eia,Fort St. Vrain,Peach Bottom-1,Beloyarsk-3,Superphenix
S,wacc,0.6184135297630932,0.6444866829046678,0.4118184618756661,0.31551993409668777,0.25931681873026885,0.17954214653019474,0.16432444144317127,0.14709982678727412,0.16197115212776142,0.8599175954068532,0.7963490143344225,0.28438628075741595,0.10188904163307992,0.06513230055043316,0.43248038590728105,0.6532721387866584,0.08079312273819353,0.45695030201402814,0.8884988048779774,0.8488889570050588,0.9289625465547583,0.9400919170568812,0.9568274835546865,0.881737983746614,0.9221791094056249,0.9454434984077023,0.8606654063924429,0.8603908253614345,0.9068986869349518,0.9759351457646367,0.9998223738375069,0.8230991763871988,0.8752968667620821,0.7773246498523687,0.9100007257884981,0.9121252684462254,0.9617333349426316,0.893300712476014,0.9346143308577011,0.7853284875711037,0.8904881847530851,0.31275698361073834,0.9860344386945091,0.8744726980530394
S,construction_time,0.012872616420387875,0.03638073232151395,0.012179723090533695,0.01095891034248323,0.0,0.0,0.0,0.0,0.0,0.028386767996207363,0.021390614590021697,0.0,0.0,0.0,0.0,0.0,0.0,0.02291103239956276,0.09841805761850671,0.11190737060283672,0.11874958997029522,0.07681082474432982,0.05025949105517879,0.0832550336773224,0.0391713274085812,0.09849627118919443,0.08312044649949923,0.0696773261309296,0.06756610697758657,0.07177201975274725,0.08203308505018754,0.10905855156379025,0.06524272510796625,0.0,0.08389618246028664,0.0,0.08902956569240564,0.14426312855259082,0.09267487108539826,0.03282043622504787,0.022598451755103985,0.015681799518071964,0.05603228622066767,0.09656295506320801
S,loadfactor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S,investment,0.29581419302693124,0.18295030389195222,0.5503845604398425,0.6870349088828789,0.6660350612139416,0.7392816390752777,0.8405580813233219,0.7430398550938137,0.7944542060301713,0.0,0.08305499743665573,0.649934236835585,0.9131956887437884,0.8693307305112093,0.46755750444730887,0.3460074972270578,0.8647331023888326,0.4661920791889409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11525441843917639,0.09097825196157747,0.6323677001938294,0.0,0.0
ST,wacc,0.6656342730409696,0.7412975086994343,0.4740508995857896,0.3617480750465099,0.31375865787800383,0.23571289530985873,0.19901813123171438,0.1944661659358114,0.2077502345921538,0.9385159559635275,0.8876367017469315,0.3300410585966504,0.12674266655408262,0.10925149268881874,0.5252647040731713,0.6579721198883075,0.145827383235193,0.45963959786646624,0.9041284130011008,0.9148099428273956,0.904459002633237,0.9260327487678894,0.9345407031751365,0.9287141624339451,0.950461247779271,0.9487875402751033,0.9151816008227067,0.9190403731674173,0.9269178450346539,0.9183870621861061,0.9317239326798652,0.9131545046929554,0.9396319992969664,0.9304683805854237,0.9187134194243892,0.9229468532221418,0.9018946874761796,0.926861925845836,0.92678641416327,0.8519939114635986,0.8662828309111354,0.3807212276855438,0.9238585815973807,0.9300301747410862
ST,construction_time,0.026318430320984,0.028282417528328024,0.016853371270216664,0.013882869566502214,0.012143952777538741,0.01092774341048963,0.0,0.0,0.0,0.037335332661690125,0.03518662403745414,0.013228173754187032,0.0,0.0,0.0201732960008057,0.024505964262997174,0.0,0.0266309117611614,0.10646534490409451,0.10694924246930226,0.10558263750704804,0.0911503330095233,0.09192560119503225,0.09169122346406741,0.0934091994439743,0.09276995906528601,0.08929313932457336,0.09251660683341531,0.09079389710284418,0.09065502231082265,0.08971376173814975,0.09041350017558913,0.09028067154242515,0.09342013023114792,0.09239162498386459,0.09121551049409694,0.09287187180924307,0.09195971927352764,0.09241819055811645,0.042326075657695604,0.04076787682064085,0.01830399852193256,0.09123136866962234,0.10770180214062504
ST,loadfactor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ST,investment,0.33300666703368825,0.24652078088978796,0.5722278835920975,0.6813324484420352,0.7271335363889083,0.8144676637119478,0.8446863461785141,0.8429217858190928,0.8230301032512938,0.017806074859512886,0.08672230745655074,0.7076130546575328,0.9008929824978261,0.9212141290257936,0.5147773440707487,0.35270045104935577,0.9238901767145323,0.5447892912724714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10701386230809927,0.10634110288558979,0.6387310033997766,0.0,0.0
