si,var,BWRX-300,UK-SMR (RR),SMR-160,SMART,NuScale,RITM-200M,ACPR-50S,KLT-40S,CAREM,EM2,HTR-PM,ARC-100,CEFR,4S,IMSR (300),SSR-W,e-Vinci,Brest-OD-300,Clinton-1,Hope Creek,Riverbend-1,Olkiluoto-3-wealer,Olkiluoto-3-oecd,Flamanville-3-wealer,Flamanville-3-oecd,Hinkley Point C-1,Hinkley Point C-2,Vogtle-3-wealer,Vogtle-4-wealer,Vogtle-3-oecd,Vogtle-4-oecd,Shin Kori-3|Saeul-1,Shin Kori-4|Saeul-2,Sanmen-1,Sanmen-2,Taishan-1,Taishan-2,Novovoronezh II-1,Novovoronezh II-2,Fort St. Vrain-doe/eia,Fort St. Vrain,Peach Bottom-1,Beloyarsk-3,Superphenix
S,wacc,0.06587341536252515,0.06231245208747743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8592302396141004,0.5165920114496919,0.025036329737513862,0.0,0.0,0.012021382432150637,0.0,0.0,0.01038782212054002,0.5979187328283708,0.4362620542777848,0.9833269522918476,1.0,0.9821822866142139,0.8512194510482604,0.8706133498387278,1.0,0.8122906076852727,0.5660281788754954,0.8447460814144837,1.0,1.0,0.9415889912691656,0.9602494762861875,0.948483136603827,0.9520070304553135,0.9306302026546931,0.935558120363052,0.9324647012036448,0.9309486548449752,0.3659456851960172,0.4372395113029202,0.0,0.908655766790152,0.9527548971795877
S,construction_time,0.016212364621207488,0.04359400195702204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02329306874287705,0.0,0.0,0.013149700572006946,0.029223595042607138,0.0,0.0,0.09047540266056729,0.08211859200979418,0.036067024700974455,0.0,0.0,0.03704472963311286,0.051267347275657134,0.0,0.0,0.18784002280421364,0.18270772290838644,0.042292139550293026,0.0,0.057122883084257066,0.056423962849125105,0.03819522519939729,0.049623907482196146,0.04339662073254326,0.04953038277682093,0.053949813183008816,0.06612833519993222,0.010847846071318194,0.020161778438710865,0.0,0.06108145416211513,0.0
S,loadfactor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S,investment,0.866361779600487,0.8120081375260257,1.0,1.0,0.999581202461983,0.9613531525363588,1.0,0.9225099966764168,0.9964940790630413,0.05078684615146991,0.43128958307441795,0.9621120026546778,1.0,0.9862380641414495,0.9805192871291597,0.9579413129921328,1.0,0.9491477206120644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6293504341999804,0.5331975366582702,1.0,0.0,0.0
ST,wacc,0.08023981294844153,0.04260280673000971,0.014411403943722213,0.0,0.0,0.0,0.0,0.0,0.0,0.9136862319312268,0.5730664861731675,0.025904804258992307,0.0,0.0,0.01563739270713747,0.013088931980349274,0.0,0.0,0.8371565485717746,0.7230179137181799,0.9192959158654125,0.9859834872996511,0.9951954726292618,0.9367048401829363,0.9871226198061511,0.999489824020994,0.9692828089448848,0.8002902062626008,0.8031157019989132,0.9671637320275124,0.9780471998383813,0.9301189571887823,0.9449906743622274,0.9530740396476285,0.9495823793301641,0.9476306207247539,0.9432068263672937,0.9460583908781198,0.9336945497975847,0.4042766795083501,0.41214075150649,0.0,0.9379935620669498,1.0
ST,construction_time,0.012373653751348732,0.06511067728430812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010720767996621361,0.015686909999429628,0.0,0.0,0.010614080099716972,0.02084274192818895,0.0,0.012515035285659941,0.2143281148376369,0.3365894686279951,0.1383197719906064,0.037093129020586195,0.018193660879701347,0.0870849325122992,0.05881515611928752,0.0562748235192798,0.054166268719155065,0.2435652523352352,0.24208381117837588,0.05733098714923915,0.05588241421222986,0.06652020579229684,0.06491839188782739,0.05047374843851006,0.05081732655550597,0.04983965671531713,0.05095842148106893,0.06879449284304177,0.06831881774235023,0.017577161080790216,0.017228767916211765,0.0,0.06083907217652733,0.019244972824641705
ST,loadfactor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ST,investment,0.9137523473765171,0.921452823956583,0.9886727712848639,0.995525012162897,0.9975469559675214,0.9954577661831113,1.0,1.0,0.9942143431270355,0.07372159789262688,0.42272258805761376,0.9685824193167436,0.9821650954601813,1.0,0.9880614380360279,0.9543403937046213,1.0,0.9887988119416092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.572366115596963,0.5762662803899591,0.976736570745567,0.0,0.0
