si,var,BWRX-300,UK-SMR (RR),SMR-160,SMART,NuScale,RITM-200M,ACPR-50S,KLT-40S,CAREM,EM2,HTR-PM,ARC-100,CEFR,4S,IMSR (300),SSR-W,e-Vinci,Brest-OD-300,Clinton-1,Hope Creek,Riverbend-1,Olkiluoto-3-wealer,Olkiluoto-3-oecd,Flamanville-3-wealer,Flamanville-3-oecd,Hinkley Point C-1,Hinkley Point C-2,Vogtle-3-wealer,Vogtle-4-wealer,Vogtle-3-oecd,Vogtle-4-oecd,Shin Kori-3|Saeul-1,Shin Kori-4|Saeul-2,Sanmen-1,Sanmen-2,Taishan-1,Taishan-2,Novovoronezh II-1,Novovoronezh II-2,Fort St. Vrain-doe/eia,Fort St. Vrain,Peach Bottom-1,Beloyarsk-4,Superphenix
S,wacc,0.08696996425352736,0.017785347436407424,0.01454709032927601,0.0,0.0,0.0,0.0,0.0,0.0,0.8881292659985741,0.5450719115718823,0.016577030826684123,0.0,0.0,0.01207708081469799,0.02734424895981074,0.0,0.011654165188896507,0.3727364000489747,0.5793751859597769,0.7834772096529479,1.0,0.9519923128342265,0.9568457044266361,0.8424058312807798,0.8958897172838111,0.787842395896597,0.8813242937613519,0.9922610666055744,0.9649549636402406,0.7920064054127249,0.963091325072638,0.9121812882789411,0.9720388999578955,0.9273795153730697,0.944115523647918,0.9438341941488304,0.9149928646345534,0.9104073427734786,0.4217867336645881,0.48533316090693523,0.0,0.9258411494084225,0.9460634498166336
S,construction_time,0.011854896639000046,0.06877373173215545,0.010594827968055442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024389544655274965,0.0,0.0,0.0,0.025010802551086137,0.0,0.013210829168578575,0.04227138918282619,0.14030103481032985,0.05994488274678566,0.0,0.010767491004819671,0.040690140654704825,0.0244497554420385,0.0,0.0,0.07789929108197258,0.11970593608608149,0.0,0.015382544651289375,0.061931304140603605,0.07632775972530495,0.04771279415110279,0.04888162195062002,0.05293309159606506,0.04471483062899025,0.07601070283530521,0.0777457948763707,0.0,0.0,0.0,0.06698389079321829,0.0
S,loadfactor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S,investment,0.9433120157411585,0.7874469294759308,0.9682368089085911,0.9915292064623918,1.0,1.0,0.94139429732451,0.9855636084130539,0.9855604025753616,0.07968084530842426,0.3921598661292268,0.8977512689144426,0.9465493880696841,0.9641495234084718,1.0,1.0,0.9842182024254896,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5117864303014024,0.5110130012969882,0.970712021733842,0.0,0.0
ST,wacc,0.0846928051192008,0.04029814798164528,0.015203986917640966,0.0,0.0,0.0,0.0,0.0,0.0,0.9319489797387541,0.5646236638202743,0.02612984910201578,0.0,0.0,0.017101505151260812,0.014164012931223215,0.0,0.0,0.9184847390747763,0.8430988816470626,0.9734045887934727,1.0,0.9902724064943901,0.9742015971236343,1.0,0.9950508346048763,0.9800126580307412,0.9115327445022869,0.9000741464582993,0.9798524904936042,0.9849263176482381,0.9288251219173609,0.9336665255127435,0.9598637938238138,0.9385116383251566,0.9396651146857078,0.9546303469141894,0.9265670413287667,0.9049455584607801,0.4780568640250134,0.5030124986902286,0.0,0.9299848047306408,1.0
ST,construction_time,0.01194408780304294,0.06614830299691493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010475858983890411,0.014920266652976412,0.0,0.0,0.010175021400081434,0.021098602589176924,0.0,0.011998519613111618,0.12574475801535306,0.1952398974732583,0.07304048448349554,0.02248532259520642,0.022580781428287993,0.04873890515138612,0.032659683893112725,0.031754791402626215,0.03190002615965577,0.1413933040873898,0.1444288835690018,0.03295260058855615,0.032850508227054286,0.06789506619233264,0.07083707410456837,0.05618851876672527,0.05548534298232033,0.05453220166792589,0.05681634781874274,0.07338201834651914,0.0742093825418685,0.010306313520853577,0.010519351350157108,0.0,0.06813121658584735,0.019516885961427054
ST,loadfactor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ST,investment,0.9134225603694396,0.8992452113206953,0.9731749929908572,0.9907850495451598,0.9927176649315602,1.0,0.9839129118932396,0.9966014985176979,0.9906267936362443,0.07592557623891456,0.40672035251298033,0.9739631138175765,0.9743257507924109,0.988896011160931,0.9691184478959425,0.9734701952387963,0.9884131088858371,0.9706865668340618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4937985935455252,0.5198523035614461,0.9794127979871814,0.0,0.0
