variable,mean,std,min,q25,median,q75,max
BWRX-300,207.2145740288766,47.96342139626062,118.72457242312532,170.20610586004696,201.77832971197077,238.801951260469,351.9309233184767
UK-SMR (RR),203.58669475262536,38.030107377939466,132.57156162750647,172.84132239055285,200.3388477722759,229.98916832604542,311.560282156781
SMR-160,243.3091302518309,87.91247868894763,97.51998835475007,177.16029911335283,227.58778181432677,296.0479859128694,532.332419641337
SMART,295.0216308029269,126.04642290139847,97.94023459885605,197.19928356477544,269.1714632146858,369.7142466422578,713.300365620854
NuScale,369.67538259895946,166.62692030937143,123.31609938061699,239.76620326268554,331.0908280064325,467.35475306392027,952.3144356161963
RITM-200M,533.6168299769917,274.1839323344409,151.01083062985649,319.1049494426941,465.890230262998,689.9918065934329,1533.2292290904127
ACPR-50S,546.6536033406857,295.4932625730965,148.21204905799425,308.8177584053608,468.3698709642373,727.106149048438,1605.3889409574526
KLT-40S,635.3559444403564,360.1773606412629,155.64491209438654,343.86489527015317,543.7448053561272,852.8118238165885,1937.1034083958295
CAREM,714.5391676908483,447.7122322547748,147.8305886900949,357.7342837185511,587.064255677649,967.7684564586814,2383.6219987084055
EM2,108.5812354555167,18.698258253829085,75.46507456699487,92.28293100833633,107.89938140347766,124.02288506806669,148.7219018218473
HTR-PM,126.34901239131634,24.129435538622534,82.37278214599233,105.68953831284921,124.94492803945974,145.6118162007794,187.3414539064162
ARC-100,1086.2425469526063,470.3317066539646,372.54690421805435,722.6211733361189,983.6587030157773,1357.1049589094362,2724.9751446419114
CEFR,3157.5099141184146,2024.9878846648533,673.1598108346188,1490.1805090075286,2535.2308534024496,4438.563590310408,10082.129939082268
4S,4555.935374499483,3470.762472835389,696.1914637474979,1775.5338355881831,3367.716373991966,6512.1872262504985,17566.871563833578
IMSR (300),225.500849104543,70.06190196476027,105.08058645178903,172.5179717642093,213.03176015055163,268.9839490774803,448.721278887912
SSR-W,193.0479415276628,45.01504736243171,111.28769021291825,158.61359281913562,187.82218371682254,221.93795718279696,330.42782509468094
e-Vinci,1740.6157333974354,1443.3205651531614,221.3932230884391,615.8190497193925,1226.562962566582,2490.4726593421487,7498.819004947548
Brest-OD-300,647.8284962933536,179.07354150321814,320.94027862644094,511.3023126927933,619.1821297370063,764.4863429560735,1200.9934750619568
Clinton-1,135.69501337201334,22.471522206869324,99.3338405231701,115.79350538703875,134.38581091511168,154.76381413292637,178.64977847206472
Hope Creek,144.56646735121328,24.381630061082653,104.72951198556882,123.11581274601483,143.04324847059138,165.01355635159496,191.26102336130197
Riverbend-1,128.26694104718882,20.88059550379589,94.75192443867441,109.7080880469482,126.88225353102928,146.24436631572308,167.8782086227728
Olkiluoto-3-wealer,114.39255111340927,19.679029024364816,82.42302891930828,96.987333107651,113.53775097054645,131.29836122749242,151.52358461217005
Olkiluoto-3-oecd,93.3189119723315,14.223992864290327,70.0151585475119,80.97390222379259,92.48343500773053,105.58204868453342,119.60660637666237
Flamanville-3-wealer,123.22548880038443,21.46136008563902,88.21117748713826,104.23459689379564,122.07272856993616,141.92028359163822,163.42123595782203
Flamanville-3-oecd,117.6994971930766,19.818443307619056,84.9047918768602,100.34562988173275,117.06780810207358,134.59434968333338,154.11992319290016
Hinkley Point C-1,133.37030295466607,27.989256668051897,89.32473873326879,108.58186056027063,130.85403698140624,156.7559926713053,187.432986161212
Hinkley Point C-2,134.36026557183106,28.02976863091577,89.34563797988794,109.58162110256,132.37795609723182,157.91349062120747,187.7893429520375
Vogtle-3-wealer,154.31344512048523,32.20110677505711,102.8744862458895,125.6662615059481,151.96006305203178,181.39426420638338,215.90799441857996
Vogtle-4-wealer,154.87479848371572,32.48733390462108,103.08357659557981,126.06244317706245,152.59940560104744,182.64501601030736,215.75839963860693
Vogtle-3-oecd,126.79785948938164,24.28457727239738,87.64890655437138,105.5364461311655,125.39884008278051,147.33899282350285,172.9477116452647
Vogtle-4-oecd,126.70668710215352,24.293729888413793,87.65562175532939,105.57839960829088,124.76316351918962,147.2274655235951,172.93811647841324
Shin Kori-3|Saeul-1,60.87887975732485,5.5492949786776675,51.69600008184514,55.98782393109996,60.5710612634325,65.67489994449306,71.16382381342314
Shin Kori-4|Saeul-2,60.84188364863779,5.544983870925026,51.705103924225,55.954579978116456,60.677189940496824,65.54106942046855,71.31734266050539
Sanmen-1,68.74869069067259,7.789260304626617,56.05551250800392,61.93666214214559,68.31973935479222,75.33230280060621,83.47516044630922
Sanmen-2,68.8979672591876,7.799498971902234,55.972302069526044,62.031858318989045,68.52674732920066,75.47169464911198,83.39517348793714
Taishan-1,68.27454523201861,7.417620536670321,56.088172576329626,61.75191585417389,67.89967766778163,74.68942734753668,82.18165433800898
Taishan-2,68.29125570633028,7.378481120362948,55.914861768880755,61.81586084321827,67.87045178215008,74.67145143000837,82.25953374196898
Novovoronezh II-1,60.93203460763864,5.988899357884518,51.278554472605904,55.587627142301535,60.569999367835734,66.10142684474434,72.41650101172304
Novovoronezh II-2,61.87560607762913,6.317922462892991,51.56115643203442,56.382405100888704,61.474180619199885,67.23205483736531,74.05349379070861
Fort St. Vrain-doe/eia,132.36670220739663,22.926141952570855,89.99478506808302,113.09581979501723,130.37806349067174,150.16257078725351,191.49622095546806
Fort St. Vrain,132.72733678800986,23.096143766925536,89.92081911513196,113.10588467242987,131.30975895248838,150.51295294701927,191.58084507848997
Peach Bottom-1,250.32063295901864,83.19754213775641,113.12439928277242,186.88965704375784,234.74527319244095,300.5691478481421,527.0632818105494
Beloyarsk-3,65.49467512541769,7.5921739363442775,53.30195574815528,58.82135496076056,65.00243793486781,71.84288009778221,80.18737318309363
Superphenix,405.0239162754518,109.16895722910056,238.31705174060508,307.56608555659795,394.62468511647154,496.5531156569534,620.1111277720386
