variable,mean,std,min,q25,median,q75,max
BWRX-300,208.12093259251643,47.790764077065326,118.84836408126048,171.3308949935854,202.2923655536366,239.6448744142032,348.851236626736
UK-SMR (RR),203.44083402056432,38.23747313660495,132.93133432798325,172.7453178205658,199.87480069425914,229.56934839707526,313.51775683160946
SMR-160,244.08204385740748,88.01576489523146,98.52539432810212,177.38736435223126,227.84243943348565,297.10076772541356,538.8924464869282
SMART,292.3482247474532,124.03900778470418,98.2657352984362,196.92313352170453,266.6607339325435,366.34922342408083,716.6839294453596
NuScale,365.70371497901755,165.67112367769218,122.85805901487029,236.1669887414996,326.667369828917,463.3656585777577,941.9256530497029
RITM-200M,532.7994093816122,275.61610183107445,151.43077239671996,316.05527605833856,463.56050969438115,694.8999898191248,1538.3905892079729
ACPR-50S,552.2880136555917,295.5410331877588,149.46109994242624,313.22729928943085,477.7851273672478,733.9394886311512,1608.0252957563685
KLT-40S,630.5597518606879,357.1617059387607,159.04778881204373,341.0683921834372,537.7708604590587,846.1911538914499,1904.2824397194358
CAREM,699.3531292009453,437.52886107876145,147.60151279065053,353.6871710731134,569.4625283650232,944.8806259367775,2389.2807913077886
EM2,108.44655353825209,19.033858321265207,75.61381213000993,91.64319243257748,107.3037522732318,124.81300160340464,149.00803812174925
HTR-PM,126.56152647225564,24.1394664676869,82.70394681366082,106.2230644683065,124.91403505226134,145.4151836110727,187.2964875868007
ARC-100,1092.6383047995505,469.9656984350998,377.48154785615355,726.3954746209058,990.4061439155206,1371.6460755177084,2713.4937987315743
CEFR,3117.8930682333194,2000.0325891824511,674.6963172378413,1482.4036252747985,2506.135715253442,4369.686675316565,10020.773217866126
4S,4689.150814149897,3536.9070842806436,684.6026485684762,1808.2333372416742,3537.4596646669456,6755.526012412599,17503.66239550659
IMSR (300),225.56831979512154,69.7951189660227,104.48817051472719,172.5233658357736,214.67654085961158,269.4942080662025,445.2232388798825
SSR-W,193.17970298476092,45.19021461991371,110.45610419059369,158.52904543787696,188.05318884713006,221.89167606233835,328.8296295770885
e-Vinci,1749.5342396279864,1445.788263954674,221.53406514738225,617.5432375120268,1236.219375631907,2497.2735326017482,7485.2159240318415
Brest-OD-300,644.8769951846937,177.94913902593282,319.62560333386705,508.08076415346113,618.3570158698526,758.9427360722497,1197.6999890111667
