variable,mean,std,min,q25,median,q75,max
BWRX-300,177.89840071258,39.04773831653564,105.83726926757508,148.03190058487985,173.391195603873,203.31687864789131,296.79069942748004
UK-SMR (RR),178.1434953618048,30.878509034876824,121.55173919221328,153.50724349788229,174.8501698705528,198.8595425396276,265.9461697676081
SMR-160,202.5380145074772,70.86609172040708,83.69786642468056,148.58219793281245,188.74199162138396,245.3366848174898,440.40613279412884
SMART,239.45416942490357,100.5154947587189,82.40853970212264,162.53737065134388,217.85657755875405,298.11247009254566,588.7015015709123
NuScale,304.67419488664495,135.4708376391133,105.44761066250675,199.26788201249605,272.47705091286014,385.2609649751819,770.2620284957103
RITM-200M,441.0487514267195,222.15022861726385,128.5185156422739,265.6570184323064,386.0820787443746,567.4957347002587,1251.2539101390696
ACPR-50S,452.8507394523031,241.52549068746976,125.70128170947083,257.48196378832847,391.1390206944353,600.8666244863244,1298.5113251043344
KLT-40S,515.356270789833,288.3951475336214,133.80332834404652,283.0406773927044,439.47437192450036,690.1360863289588,1545.3838169498695
CAREM,583.1482480461386,364.7480650398344,125.66663196728611,294.6376853653491,475.42520700992566,785.085516784625,1925.8464599143094
EM2,94.32099803661686,15.247708607162382,68.0586056583255,81.08505938289083,93.55390265617584,106.88677114892724,127.03194651967073
HTR-PM,109.78286373698587,19.74858634055649,74.02442652626486,93.03510058183275,108.35064710099451,125.41798011169759,158.7360571326252
ARC-100,900.7127751247093,380.13136862465296,324.74379241567664,605.2743620961537,816.4332603115032,1123.873084722311,2213.9411010499593
CEFR,2546.96912461317,1621.381508103142,569.1710930918089,1232.081632916424,2027.8624079248948,3550.430857340595,8221.323657165
4S,3799.9676009600075,2871.541644371938,565.775866721427,1491.92032131716,2837.593363490102,5444.144398155204,13945.316042310857
IMSR (300),189.6447192595467,57.26968876825372,91.3697757957103,145.72461568587522,179.8371106638222,225.1681328584182,370.2968321157629
SSR-W,165.95816169095713,36.7652476606942,97.97669725307847,137.3489007228997,161.0653360645124,190.24413341040713,277.7653457989895
e-Vinci,1436.4128449927014,1173.6367362280603,190.96673144729152,515.9976547128454,1019.7234937775861,2055.957624840332,6112.742517077518
Brest-OD-300,535.1218739909077,142.8527062877809,271.3102697128787,426.77997701466677,515.3476402033322,627.6860224429123,983.0408810283129
Clinton-1,135.76956360159403,22.504374423595408,99.26801819953697,116.04113901395522,134.34025180268952,154.7558253867166,178.48763616804226
Hope Creek,144.4276296980951,24.60757970146766,104.88896790519865,122.83540797039176,143.07685870334254,165.2907372341454,191.22341095325496
Riverbend-1,128.44028962599765,20.731235945132987,94.64702613071485,110.17520100718113,127.20411563908023,146.28933679682387,167.83746541280775
Olkiluoto-3-wealer,114.88380288698092,19.655661382803903,82.36661810170524,97.73374981393437,114.26060557218312,131.7333022623025,151.4289420703774
Olkiluoto-3-oecd,93.33850231247877,14.260767760601716,70.06704844167265,80.75652977093281,92.80044493060223,105.51297655523653,120.13134109021962
Flamanville-3-wealer,123.69724846851295,21.31068120671557,88.47408465033304,104.88079989268617,123.05667828797695,141.83293547073146,163.05618108198476
Flamanville-3-oecd,117.4711088545529,19.808130865164355,84.89068153290118,100.20933120107694,116.50356644414889,134.4042786489809,154.10862493687492
Hinkley Point C-1,133.86071056028345,27.79299478643403,89.54664143482742,109.47436666259975,132.01656315832628,156.9177652134348,188.25651302971383
Hinkley Point C-2,133.69978131918353,28.134335789928596,89.39683166160337,108.83246284612841,131.5866103923454,157.4771028630069,187.7159520109939
Vogtle-3-wealer,154.74973100244023,32.09405579276966,103.13467288481279,126.89869205586797,152.37818193533656,181.7007409005144,215.96940634997625
Vogtle-4-wealer,154.41321800476535,32.11146400069437,103.13889894538035,126.18287326471732,151.97461994768133,181.4826298981382,215.89229788983062
Vogtle-3-oecd,126.92972836483423,24.671097663902916,87.77586708341973,105.0243182786846,124.95259904550021,148.24825969778644,173.4706431374649
