variable,mean,std,min,q25,median,q75,max
BWRX-300,192.53435041124615,43.533827127399235,111.76049198261487,158.50254216940664,188.51311106661407,220.80101541383294,324.00708062629496
UK-SMR (RR),190.23946291461465,34.02044168926437,126.30737781723832,163.1396630675119,186.39363066552667,213.4988651343543,287.98518967797753
SMR-160,223.4053658739984,79.10769459766662,90.9245704223506,162.51124139081182,207.6608774604419,271.92584905291733,486.30148073940336
SMART,266.51984154163335,112.63060428713656,89.88519516620791,179.3954516707966,243.2446180562353,332.7260951599027,640.4481515601531
NuScale,337.14758587129944,152.20840427311887,112.24418206339809,217.70081961744614,302.6443898883434,426.85280811893074,850.5532396285989
RITM-200M,482.7713019726754,246.8706860886522,137.4690031933667,289.0990743391535,421.53158767896707,622.6919793420332,1370.7205402197878
ACPR-50S,498.8722308766458,266.2982088093646,135.99440759658748,281.8331871788348,430.154300839135,662.4131830695605,1449.7464261475286
KLT-40S,573.1953531208384,324.77232773575577,143.97745042164766,309.2269643249896,489.3426981765165,766.5203847536105,1735.2878849435156
CAREM,642.2006118864931,401.84791637534846,136.94563611588097,324.73867888955846,523.7808630037796,873.1893741206597,2142.2771079532095
EM2,101.5865923769908,16.934810247060504,71.7171405298202,86.95918445197823,100.75372396022397,115.85398961152478,137.56759788434243
HTR-PM,117.57439078419176,21.522377365001322,78.00623969586805,99.40069106578224,116.06846064672551,134.59372022052267,171.77874656344562
ARC-100,993.0252560954436,421.77279631099333,347.55901253616133,663.2283671215563,897.8910668642326,1245.6319251663683,2438.583710627811
CEFR,2821.2134920016506,1805.2040344551535,623.2710830636577,1345.9498924206187,2276.0504823802275,3938.87832874004,9083.962530725114
4S,4165.803678080346,3117.8629167705794,630.0019360677426,1662.248112238351,3116.943979601102,5961.538361865298,15250.386225531312
IMSR (300),207.5106295475486,63.78837746580285,98.04408591323848,158.80893425272694,195.87401378774877,247.1231678794975,410.6598291110061
SSR-W,179.30322734902407,40.83602265650195,104.36885522366242,147.69657494995664,174.05276351875528,205.8938337150156,303.6800833481896
e-Vinci,1569.9049197322652,1293.3960259599771,205.519968472765,559.4417068058084,1098.7730184351044,2269.3007684689937,6798.367266229507
Brest-OD-300,587.9024807957381,161.12672642090428,297.344684091968,464.54592349309087,563.2937400314468,691.1116061732511,1083.3177429611408
Clinton-1,135.95380362473264,22.60818301138675,99.05713066714547,115.92285123421073,134.74589133066848,155.18502822575937,178.75098908644267
Hope Creek,144.457756130121,24.774196317012418,104.71086321463534,122.37845025169452,142.4784350777872,165.64363376941634,190.9111987915159
Riverbend-1,128.38861631857526,20.953784410134485,94.40964433000896,109.95401824770607,126.95803077644541,146.58456124453068,167.8478700818204
Olkiluoto-3-wealer,114.27324295354653,19.77407329804545,82.35818952876288,96.73157194815175,113.04427207242557,131.25943499641363,151.32489943543413
Olkiluoto-3-oecd,93.34502575576299,14.168613014549978,69.9945694461958,80.85576448308395,92.62647209935969,105.47645242811025,119.9642251406915
Flamanville-3-wealer,123.65654920373987,21.368965423741606,88.32339212716332,104.95568008577342,122.53104792808787,142.0932155078056,163.20004033869324
Flamanville-3-oecd,117.5257082829603,19.838186233725516,84.9313773216969,100.3650305268162,116.19591682371635,134.72735236163507,154.2628273601853
Hinkley Point C-1,133.1779915569553,28.034185804651887,89.50956184034963,108.21485923740354,130.9755595665353,156.91976983440026,187.1056150014636
Hinkley Point C-2,134.09445030764147,28.02114819423803,89.48946996544741,109.41790552831105,132.23394337926527,157.81635800059308,187.3730095909858
Vogtle-3-wealer,154.88059256780934,32.22686177903468,103.11452015997918,126.2317785885629,152.47717878022956,182.3781187370896,216.4097502622865
Vogtle-4-wealer,154.802606567953,32.35676738222472,103.1339211308574,126.40999763878936,152.7912013770166,182.90088540406094,215.98959522762183
Vogtle-3-oecd,126.91745476672149,24.303319942662053,87.57654797555604,105.73726076551571,125.15030544486291,147.2659078516275,173.48471807480885
Vogtle-4-oecd,127.03766217155521,24.27977101447418,87.61973116743084,105.97674776157261,125.33521030028672,147.2297937073769,173.1727429010371
Shin Kori-3|Saeul-1,60.84867195439695,5.522576238695413,51.71316125904256,55.971478307612045,60.52110954140443,65.55915934389023,71.26321872485283
Shin Kori-4|Saeul-2,60.88200283287002,5.574611471507269,51.65135547998852,55.92290747992463,60.581880105643116,65.68850429672979,71.25419774731951
