variable,mean,std,min,q25,median,q75,max
BWRX-300,187.86237793057393,42.15897441188953,110.05082351477854,155.446979812098,182.76057967313338,214.52809118864224,314.5238410461608
UK-SMR (RR),187.40740896269185,33.12897016754703,125.37157713389534,160.90404174505983,184.41004765907167,209.6738248685744,283.4081325037025
SMR-160,217.6775271014377,77.11588339248112,88.79199538921075,159.0435915181049,203.28998103952893,264.65249830250457,468.3625886508966
SMART,258.60682937409535,109.53576677122022,88.83888812465656,174.6354036972304,235.34915508747326,321.06166784463403,633.3752081070558
NuScale,326.0381856715131,144.2396623335191,110.38379256323773,213.71447825634618,292.97074225369954,413.6516979950826,830.5750296857387
RITM-200M,471.2446659828993,236.99501774141982,135.40369785730823,282.9341293796013,414.9086426125399,608.6913916504066,1323.7944051194668
ACPR-50S,488.6581594109025,262.05145895182125,132.20955372572013,274.9277988909502,424.03066075055733,649.3546507356676,1401.5694440845007
KLT-40S,552.9325683349808,316.91244621360676,141.6162211403207,297.6592395291504,464.2851459616957,745.9310968774034,1683.5116374785682
CAREM,629.7296956100021,391.4632902824002,132.7204166831226,316.09385550017777,517.9489434906902,850.668452821945,2076.198688993071
EM2,99.43607633618056,16.458214521828722,70.93741505276452,85.02486782126621,98.72350058489896,113.16506603052966,134.40319741514077
HTR-PM,115.44156817499986,21.253897876463224,77.00483640576768,97.20103564000082,114.01553380593468,132.40088511550152,168.5717696323118
ARC-100,973.6196463237404,412.87035055864754,340.7268803650177,651.4929212045829,884.0825137905915,1209.7195838907562,2399.235779241061
CEFR,2749.4274001129415,1767.9287830433864,606.14177650294,1297.014720137975,2204.8137899716003,3854.898767688466,8851.009234081163
4S,4082.175131959492,3083.819047753338,615.201736112103,1585.0596567877838,3051.3162181233583,5870.600088605557,15221.152913664006
IMSR (300),201.333897171956,61.92782888120404,95.51462394949777,154.09535681901164,190.34731981728987,238.93159738541905,403.3359005157911
SSR-W,174.77883775677884,39.344340279652194,102.2465426723392,144.72629476821822,170.0628320056023,200.07102407714896,297.0784362572858
e-Vinci,1565.3018622350319,1286.6518800493916,200.8209980396859,562.052329936326,1095.3373076684452,2241.348049016331,6555.789104013616
Brest-OD-300,572.2248177421703,156.8912475235613,288.6394314507333,452.9950369416125,547.7455890920603,670.6125245915777,1059.8629349705282
Clinton-1,136.15183159545805,22.48085644568015,99.5366500908191,116.3060557604426,134.80681686497775,155.30617081868184,178.56906172827618
Hope Creek,144.8178575975186,24.509914425291683,104.5189714530679,123.29539728002254,143.8594832109846,165.53816723004374,191.42287565801274
Riverbend-1,128.45692319250944,20.814769563539038,94.79805960140465,110.23443636285015,127.09263063896995,146.1291522336199,168.22067926519517
Olkiluoto-3-wealer,114.7788499226931,19.656750676543467,82.35735104715611,97.72790794026783,113.90169547945743,131.40823768230365,151.35422826125156
Olkiluoto-3-oecd,93.25244992424962,14.3042337086577,70.09155308777706,80.56558847141505,92.39290108436231,105.57236057447294,119.638235349378
Flamanville-3-wealer,123.6703960394308,21.239089707826817,88.20617870535439,104.8922046846486,123.0359375802771,141.95933681047214,162.72113994569372
Flamanville-3-oecd,117.34663259698448,19.697292181887118,84.88423998042718,100.18126762306548,116.28063652173759,133.9258427273823,153.98491643121437
Hinkley Point C-1,133.8340982263579,28.0439627242247,89.43784203021043,109.06880994760711,131.80764654299892,157.38611688295066,187.67753022054583
Hinkley Point C-2,134.32412802759632,28.095235541129128,89.32898716602847,109.40693853620708,132.78017762002986,158.26621627643473,187.50982895707185
Vogtle-3-wealer,154.97489138065228,32.21018151776239,103.13896959220209,126.64261254040106,153.0904360305504,182.4275401636886,215.95659987379682
