si,var,BWRX-300,UK-SMR (RR),SMR-160,SMART,NuScale,RITM-200M,ACPR-50S,KLT-40S,CAREM,EM2,HTR-PM,ARC-100,CEFR,4S,IMSR (300),SSR-W,e-Vinci,Brest-OD-300,Clinton-1,Hope Creek,Riverbend-1,Olkiluoto-3-wealer,Olkiluoto-3-oecd,Flamanville-3-wealer,Flamanville-3-oecd,Hinkley Point C-1,Hinkley Point C-2,Vogtle-3-wealer,Vogtle-4-wealer,Vogtle-3-oecd,Vogtle-4-oecd,Shin Kori-3|Saeul-1,Shin Kori-4|Saeul-2,Sanmen-1,Sanmen-2,Taishan-1,Taishan-2,Novovoronezh II-1,Novovoronezh II-2,Fort St. Vrain-doe/eia,Fort St. Vrain,Peach Bottom-1,Beloyarsk-3,Superphenix
S,wacc,0.8989690993721512,0.966582469130575,0.9324525995112927,0.9286461094893811,1.0,0.6876053498730991,1.0,0.8506776407613426,0.9715881455249978,1.0,0.846406862081213,0.9164204186854329,0.9199705922649691,0.5968685659308619,1.0,1.0,1.0,0.7083643386043791,0.8260940546653185,0.9325873515804006,0.8916797335578486,0.9546317650648142,0.905746035853703,0.8885920434796725,0.8881986458960194,0.7973224753203764,0.9585095590025033,0.8513985523516724,0.8230804549794388,0.8615681080514743,0.9647437985230991,0.8122963231490156,1.0,0.9982371691853836,0.9476801258003632,0.7510782927576941,0.8952469319782856,0.8981848750976783,0.7584619356740363,0.8020603303137248,0.8422244214904093,0.5503020369834906,0.9978700663428032,0.886436773727817
S,construction_time,0.0,0.010514164909810044,0.033107830310661064,0.01013511391746652,0.0,0.03358338541580617,0.039683513002450904,0.028908268653050274,0.032839667226852165,0.02690982602126205,0.016559108130874984,0.03957818934059516,0.12918667004376425,0.05522280123403675,0.028857982082283674,0.0,0.0,0.03923623383427595,0.08290602760100259,0.10945821972306204,0.09057320196601985,0.06544654121755081,0.07902449247403556,0.07536895587611438,0.09146682267634133,0.030987308160191542,0.06358285718179264,0.07006415879488281,0.09505306036976516,0.07565634270318422,0.08240520057730397,0.021526638048996856,0.08555373047485894,0.09466177341591203,0.05004753540693379,0.08534218121505785,0.07257878029704516,0.03354137284771036,0.14488989620975168,0.020875989533261075,0.032354604454304145,0.19854972125152354,0.10948825264006101,0.07033212640425254
S,loadfactor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S,investment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ST,wacc,0.9687914495917554,0.9659498782221129,0.966616261932614,0.9586764772426395,0.9762591833686377,0.9495401567378124,0.9766468016001025,0.9553363644816947,0.979564120507517,0.9666968214730768,0.9806353642794994,0.9766484244253225,0.946648711390326,0.9618686244384619,0.9528009768173308,0.9413497473739335,0.9521748351224599,0.9436333324871194,0.8942594960433298,0.9113714821872201,0.9234130346292143,0.9269033106271017,0.9281114152230243,0.9254912085365041,0.9091968039797941,0.9365418103447513,0.9210609590980393,0.9339046884718644,0.9269845961833311,0.9306154075248193,0.9351373071211021,0.9334386557707394,0.9227764494583139,0.948303669420413,0.9283827470758258,0.9455266475654153,0.9306593045541017,0.9174827628473228,0.9320980728926823,0.9626881847302389,0.9644207516260138,0.9382507700620907,0.9388088466509035,0.910477741997409
ST,construction_time,0.03798628133121413,0.038451005891773124,0.03524821761677444,0.03750497589930961,0.03889854262928709,0.04681244974647055,0.046314797376816985,0.04451554897402543,0.037997538772293143,0.03760968603170685,0.03800643412846482,0.03761651945665408,0.05801301628561084,0.057543639222816745,0.03838731666053161,0.0378909445197581,0.03839407958511185,0.05650057488786316,0.10385186836414424,0.10362517204098029,0.10308103758547991,0.09244857667413135,0.09357939410414062,0.092992377466228,0.08920173601340728,0.090321442371022,0.08757012108229506,0.0909002552201941,0.09096130799781388,0.09110428986402855,0.08912879230285473,0.09547651951628845,0.09174899848907356,0.09272740950887422,0.0921810682543367,0.09565228771814373,0.09292736851062774,0.08979572697656442,0.09320253504827411,0.045471318551182416,0.045216594994826,0.045810939998406776,0.08878757568257425,0.10315456362661958
ST,loadfactor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ST,investment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
