variable,mean,std,min,q25,median,q75,max
BWRX-300,200.0110601960451,46.14932649444122,114.80638178862897,164.897151019569,194.3354401788123,229.51164198807774,337.87854181333887
UK-SMR (RR),196.93219011741687,36.31712872984299,129.9026678205042,167.99353170356227,193.45176991958172,221.61407850677767,299.7592659489254
SMR-160,232.83915445106666,83.79693988370627,93.27111534927813,169.09370296340197,216.84146313573075,282.2147401579059,507.5452886882521
SMART,280.1459751995,118.8487574281718,93.76725608640679,187.5933500808669,257.39147502657465,352.2638459060066,681.2224522383576
NuScale,350.8074320612878,157.61067017589835,116.95852834350354,228.04964557919314,315.6088957816649,442.39565006586804,904.4433714741863
RITM-200M,504.1936766577159,258.26606092689633,144.82782217101635,302.7566094801699,439.99820769787453,650.096160088928,1445.1001397047398
ACPR-50S,530.0187028222742,284.38254764958566,141.06447606779824,300.2094581863895,456.7909669207662,701.6957568853717,1522.9917077229647
KLT-40S,598.6846880489508,339.58855322173855,151.61831005955406,322.6226330345636,506.2205446421859,804.7273582173461,1807.1452106572585
CAREM,686.9697335121904,432.0368410892722,142.12659365910804,343.78901557306693,561.8653556009325,930.2231464208667,2289.9158019782803
EM2,104.80251310496683,17.723576363419845,73.63690064400387,89.27389365025245,104.0954475506361,119.8315891789058,142.76080717663822
HTR-PM,122.11306656092228,23.014592243868204,80.4820342432526,102.54211743999949,120.31674784056909,140.14060205444065,180.23756665761397
ARC-100,1038.9340542334035,445.33839961820706,363.39301050430373,693.5579865844998,942.1440335221511,1294.9036857886497,2591.7290345811057
CEFR,2981.16284242622,1917.3006104002718,649.4640855965396,1401.671085859638,2405.307181585296,4170.1360973847695,9688.606497892757
4S,4438.745646872084,3354.982588096395,653.472064499574,1721.1170803569871,3304.632189318929,6397.461962595832,16352.327797401724
IMSR (300),216.17567443515136,66.86359773054743,100.8287261458301,165.48574506572083,204.1001451107888,257.7435830260553,430.73899143759417
SSR-W,186.3933770385437,43.15464225975933,106.78741894634483,153.18428542288095,181.4851746478136,214.24269182152608,315.66136305908327
e-Vinci,1658.8412505589472,1376.4948449774847,211.7824190296265,587.7474495073961,1149.9917252764571,2370.9176982301888,7110.985282867203
Brest-OD-300,617.3580652358286,167.8763109323101,309.2772636381252,487.77339676477914,594.5864263680585,727.4308944084403,1143.466510060627
Clinton-1,136.26217770548817,22.51040647280992,99.29091748958948,116.62452628302925,134.98851302485411,155.47756432713277,178.63827978206896
Hope Creek,144.61166454645317,24.437608220108324,104.62046631553451,123.23379973385576,143.23889068058904,165.1795321248277,191.1706831632489
Riverbend-1,128.3892581018193,20.71574955613917,94.6822967624799,110.26479553309805,126.89876664139183,145.89595236279823,167.73559231970933
Olkiluoto-3-wealer,114.356912824801,19.697296829514936,82.41665852884279,97.07744385682805,113.07083919399017,131.23992671350217,151.31279837268337
Olkiluoto-3-oecd,92.98397185989292,14.143062670072485,70.10732391350676,80.67765511765782,92.13230730273945,104.9702827526174,119.85429187311586
Flamanville-3-wealer,123.40209067970436,21.242652507675217,88.27604819600639,104.86243244415093,122.60979040262932,141.40324401668465,163.34147804720982
Flamanville-3-oecd,117.68818391586379,19.857203279822922,84.92543209993045,100.29665423263718,116.69344350208422,134.77943977099702,154.34318625811872
Hinkley Point C-1,134.01609046001482,28.06484135091666,89.49936293247039,109.20474502268219,132.11018450460344,158.063688851418,187.6279687489492
Hinkley Point C-2,133.5730952070997,27.964902944470023,89.2930005492342,108.91847569700596,131.3995053041565,156.96140924698688,187.57393020692544
